current pwr_bound is 5e-4
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 78144
pwrLength=2442
pwrErrBoundBytes_size=4884
pw_relBoundRatio=0.000500
hit: 78142
miss: 0
length of statenum:65536
nodecount=15
treeByteSize=106
enCodeSize=19580
-------insight of tdps
dataLength=78144
exactDataNum=2
realPrecision=0.000023
medianValue=0.000000
reqLength=23
quantization_intervals=20000
pwrErrBoundBytes_size=4884
radExpo=-5
-----------------------
timecost, 0.007178, seconds
done
input file size: 625152
output file size: 3168
sz compression ratio, 197.33 
timecost, 0.004828, second
done
Max absolute error = 2.2884458303451538086E-05
Max relative error = 0.1685553573878446898
Max pw_relative err = 0.00048971615993971941237
../model_comparison/inputdata/original/sedov_p.dat, ../model_comparison/inputdata/original/sedov_p.dat.sz.out, 78144
size of double: 8
0.046810, 0.046799, -0.000012
0.046774, 0.046768, -0.000005
0.046748, 0.046738, -0.000010
0.046731, 0.046753, 0.000022
0.046731, 0.046722, -0.000008
0.046748, 0.046738, -0.000010
0.046774, 0.046753, -0.000021
0.046810, 0.046814, 0.000004
0.046774, 0.046783, 0.000010
0.046747, 0.046753, 0.000006
0.046736, 0.046722, -0.000014
0.046738, 0.046738, 0.000000
0.046738, 0.046753, 0.000015
0.046736, 0.046722, -0.000014
0.046747, 0.046738, -0.000010
0.046774, 0.046753, -0.000021
0.046748, 0.046768, 0.000020
0.046736, 0.046738, 0.000001
0.046739, 0.046753, 0.000014
0.046739, 0.046722, -0.000017
0.046739, 0.046738, -0.000001
0.046739, 0.046753, 0.000014
0.046736, 0.046722, -0.000014
0.046748, 0.046738, -0.000010
0.046731, 0.046753, 0.000022
0.046738, 0.046722, -0.000015
0.046739, 0.046738, -0.000001
0.046739, 0.046753, 0.000014
0.046739, 0.046722, -0.000017
0.046739, 0.046738, -0.000001
0.046738, 0.046753, 0.000015
0.046731, 0.046722, -0.000008
0.046731, 0.046738, 0.000007
0.046738, 0.046753, 0.000015
0.046739, 0.046722, -0.000017
0.046739, 0.046738, -0.000002
0.046739, 0.046753, 0.000014
0.046739, 0.046722, -0.000017
0.046738, 0.046738, 0.000000
0.046731, 0.046753, 0.000022
0.046748, 0.046768, 0.000020
0.046736, 0.046738, 0.000001
0.046739, 0.046753, 0.000014
0.046739, 0.046722, -0.000017
0.046739, 0.046738, -0.000001
0.046739, 0.046753, 0.000014
0.046736, 0.046722, -0.000014
0.046748, 0.046738, -0.000010
0.046774, 0.046753, -0.000021
0.046747, 0.046768, 0.000021
0.046736, 0.046738, 0.000001
0.046738, 0.046753, 0.000015
0.046738, 0.046722, -0.000015
0.046736, 0.046738, 0.000001
0.046747, 0.046753, 0.000006
0.046774, 0.046768, -0.000005
0.046810, 0.046829, 0.000019
0.046774, 0.046753, -0.000021
0.046748, 0.046768, 0.000020
0.046731, 0.046738, 0.000007
0.046731, 0.046753, 0.000022
0.046748, 0.046768, 0.000020
0.046774, 0.046783, 0.000010
0.046810, 0.046799, -0.000012
0.046828, 0.046814, -0.000014
0.046809, 0.046829, 0.000020
0.046792, 0.046799, 0.000007
0.046778, 0.046768, -0.000009
0.046765, 0.046783, 0.000018
0.046746, 0.046753, 0.000007
0.046729, 0.046722, -0.000007
0.046724, 0.046738, 0.000014
0.046809, 0.046799, -0.000010
0.046795, 0.046814, 0.000019
0.046772, 0.046783, 0.000011
0.046753, 0.046753, 0.000000
0.046744, 0.046722, -0.000021
0.046737, 0.046738, 0.000001
0.046735, 0.046753, 0.000018
0.046734, 0.046722, -0.000011
0.046792, 0.046783, -0.000008
0.046772, 0.046753, -0.000019
0.046755, 0.046768, 0.000013
0.046746, 0.046738, -0.000008
0.046736, 0.046753, 0.000017
0.046733, 0.046722, -0.000011
0.046737, 0.046738, 0.000001
0.046737, 0.046753, 0.000015
0.046778, 0.046768, -0.000009
0.046753, 0.046738, -0.000015
0.046746, 0.046753, 0.000007
0.046742, 0.046722, -0.000020
0.046739, 0.046738, -0.000001
0.046738, 0.046753, 0.000015
0.046738, 0.046722, -0.000016
0.046738, 0.046738, -0.000000
0.046765, 0.046753, -0.000012
0.046744, 0.046722, -0.000021
0.046736, 0.046738, 0.000002
0.046739, 0.046753, 0.000014
0.046740, 0.046722, -0.000018
0.046739, 0.046738, -0.000001
0.046739, 0.046753, 0.000014
0.046739, 0.046722, -0.000016
0.046746, 0.046738, -0.000008
0.046737, 0.046753, 0.000016
0.046733, 0.046722, -0.000011
0.046738, 0.046738, -0.000000
0.046739, 0.046753, 0.000014
0.046739, 0.046722, -0.000017
0.046739, 0.046738, -0.000002
0.046739, 0.046753, 0.000014
0.046729, 0.046722, -0.000007
0.046735, 0.046738, 0.000003
0.046737, 0.046753, 0.000016
0.046738, 0.046722, -0.000016
0.046739, 0.046738, -0.000001
0.046739, 0.046753, 0.000014
0.046739, 0.046722, -0.000017
0.046739, 0.046738, -0.000002
0.046724, 0.046707, -0.000017
0.046734, 0.046722, -0.000011
0.046737, 0.046738, 0.000000
0.046738, 0.046753, 0.000015
0.046739, 0.046722, -0.000016
0.046739, 0.046738, -0.000002
0.046739, 0.046753, 0.000014
0.046739, 0.046722, -0.000017
0.046838, 0.046829, -0.000009
0.046827, 0.046844, 0.000017
0.046817, 0.046814, -0.000003
0.046808, 0.046829, 0.000021
0.046800, 0.046799, -0.000002
0.046794, 0.046814, 0.000020
0.046788, 0.046783, -0.000005
0.046783, 0.046799, 0.000016
0.046827, 0.046814, -0.000013
0.046818, 0.046829, 0.000011
0.046810, 0.046799, -0.000011
0.046801, 0.046814, 0.000013
0.046791, 0.046783, -0.000008
0.046782, 0.046799, 0.000017
0.046774, 0.046768, -0.000006
0.046766, 0.046783, 0.000018
0.046817, 0.046799, -0.000018
0.046810, 0.046814, 0.000004
0.046804, 0.046783, -0.000020
0.046795, 0.046799, 0.000004
0.046783, 0.046768, -0.000015
0.046771, 0.046783, 0.000013
0.046760, 0.046753, -0.000007
0.046753, 0.046768, 0.000015
0.046808, 0.046829, 0.000021
0.046801, 0.046799, -0.000002
0.046795, 0.046814, 0.000019
0.046787, 0.046783, -0.000004
0.046774, 0.046753, -0.000021
0.046760, 0.046768, 0.000008
0.046751, 0.046738, -0.000013
0.046747, 0.046753, 0.000006
0.046800, 0.046814, 0.000014
0.046791, 0.046783, -0.000008
0.046783, 0.046799, 0.000015
0.046774, 0.046768, -0.000006
0.046763, 0.046783, 0.000020
0.046754, 0.046753, -0.000001
0.046748, 0.046768, 0.000020
0.046745, 0.046738, -0.000007
0.046794, 0.046799, 0.000005
0.046782, 0.046768, -0.000014
0.046771, 0.046783, 0.000013
0.046760, 0.046753, -0.000007
0.046754, 0.046768, 0.000014
0.046750, 0.046738, -0.000012
0.046747, 0.046753, 0.000006
0.046743, 0.046722, -0.000021
0.046788, 0.046783, -0.000005
0.046774, 0.046753, -0.000021
0.046760, 0.046768, 0.000008
0.046751, 0.046738, -0.000013
0.046748, 0.046753, 0.000005
0.046747, 0.046768, 0.000022
0.046745, 0.046738, -0.000007
0.046742, 0.046753, 0.000011
0.046783, 0.046768, -0.000015
0.046766, 0.046783, 0.000018
0.046753, 0.046753, 0.000000
0.046747, 0.046768, 0.000021
0.046745, 0.046738, -0.000007
0.046743, 0.046753, 0.000010
0.046742, 0.046722, -0.000019
0.046742, 0.046738, -0.000004
0.046845, 0.046844, -0.000000
0.046838, 0.046860, 0.000021
0.046832, 0.046829, -0.000003
0.046827, 0.046844, 0.000018
0.046822, 0.046814, -0.000008
0.046817, 0.046829, 0.000012
0.046813, 0.046799, -0.000014
0.046809, 0.046814, 0.000005
0.046838, 0.046829, -0.000009
0.046832, 0.046844, 0.000012
0.046827, 0.046814, -0.000013
0.046822, 0.046829, 0.000007
0.046817, 0.046799, -0.000019
0.046813, 0.046814, 0.000001
0.046808, 0.046829, 0.000021
0.046804, 0.046799, -0.000005
0.046832, 0.046814, -0.000018
0.046827, 0.046829, 0.000002
0.046823, 0.046844, 0.000022
0.046818, 0.046814, -0.000004
0.046814, 0.046829, 0.000016
0.046809, 0.046799, -0.000011
0.046805, 0.046814, 0.000009
0.046800, 0.046783, -0.000017
0.046827, 0.046844, 0.000018
0.046822, 0.046814, -0.000008
0.046818, 0.046829, 0.000011
0.046814, 0.046799, -0.000015
0.046810, 0.046814, 0.000004
0.046806, 0.046829, 0.000023
0.046802, 0.046799, -0.000003
0.046797, 0.046814, 0.000017
0.046822, 0.046829, 0.000008
0.046817, 0.046799, -0.000019
0.046814, 0.046814, 0.000000
0.046810, 0.046829, 0.000019
0.046807, 0.046799, -0.000008
0.046803, 0.046814, 0.000011
0.046799, 0.046783, -0.000016
0.046794, 0.046799, 0.000004
0.046817, 0.046814, -0.000003
0.046813, 0.046829, 0.000016
0.046809, 0.046799, -0.000011
0.046806, 0.046814, 0.000008
0.046803, 0.046783, -0.000020
0.046800, 0.046799, -0.000002
0.046796, 0.046814, 0.000018
0.046791, 0.046783, -0.000007
0.046813, 0.046799, -0.000014
0.046808, 0.046814, 0.000006
0.046805, 0.046783, -0.000021
0.046802, 0.046799, -0.000003
0.046799, 0.046814, 0.000015
0.046796, 0.046783, -0.000013
0.046793, 0.046799, 0.000006
0.046787, 0.046768, -0.000019
0.046808, 0.046829, 0.000021
0.046804, 0.046799, -0.000005
0.046800, 0.046814, 0.000014
0.046797, 0.046783, -0.000014
0.046794, 0.046799, 0.000004
0.046791, 0.046768, -0.000023
0.046787, 0.046783, -0.000004
0.046782, 0.046799, 0.000016
0.046848, 0.046860, 0.000011
0.046845, 0.046829, -0.000016
0.046841, 0.046844, 0.000003
0.046838, 0.046860, 0.000021
0.046835, 0.046829, -0.000006
0.046832, 0.046844, 0.000012
0.046829, 0.046814, -0.000015
0.046827, 0.046829, 0.000003
0.046845, 0.046844, -0.000000
0.046841, 0.046860, 0.000018
0.046838, 0.046829, -0.000009
0.046835, 0.046844, 0.000009
0.046832, 0.046814, -0.000018
0.046829, 0.046829, -0.000000
0.046827, 0.046844, 0.000018
0.046824, 0.046814, -0.000010
